text,label,FC,CC,TU,CP,R,DU,EE,FR
"Q: Where do C++ programs begin to execute?
A: they beging to excute at main",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What is the height of a tree?
A: The intensity of the children. Say you begin with one node, Thats one height. Then you add two children to that node and then two children to each of those nodes and two children to each of THOSE nodes. Youre current height would be 4.",0,Negative,Negative,Negative,Negative,unknown,Negative,unknown,Negative
"Q: What is the main disadvantage of a doubly-linked list over a basic linked list?
A: There are more pointers to set, the mechanics of inserting into and deleting from a doubly linked list are a bit more involved than for a singly linked list.",1,unknown,Negative,Positive,unknown,Positive,unknown,unknown,Positive
"Q: How are arrays passed to functions?
A: The function recieves both the array and the array size as parameters. function(arrayName, arraySize)",1,Negative,Negative,Negative,Negative,unknown,Negative,unknown,Positive
"Q: What is the main advantage associated with function arguments that are passed by reference?
A: it takes less memory, thus it would make the program faster",1,unknown,Negative,unknown,unknown,Positive,unknown,Negative,Positive
"Q: When defining a recursive function, what are possible causes for infinite recursion?
A: function is never allowed to reach the 'base case'",1,unknown,Negative,Positive,unknown,Positive,unknown,Negative,Positive
"Q: How can you implement a queue with a list?
A: You can use list to represent the items in a queue.",0,unknown,Negative,unknown,Negative,unknown,Negative,Negative,Positive
"Q: How are objects initialized when they are created?
A: Objects are initialized by a value given.  When an object is defined for a certain task.",0,Negative,Negative,Negative,Negative,unknown,Negative,Negative,unknown
"Q: What does a function signature include?
A: function name, and input paramaters",1,unknown,unknown,unknown,unknown,Positive,unknown,Negative,Positive
"Q: What is a pointer?
A: A pointer is a variable that contains a memory address for something that you can use, such as a value, array, or even a function.",1,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
"Q: What is typically included in a class definition?
A: The attributes of said class. Also whether or not it is a subclass. Also whether it is public private or protected.",1,unknown,Negative,Positive,unknown,unknown,Negative,Negative,Positive
"Q: In one sentence, what is the main idea implemented by insertion sort?
A: To sort the elements in an array by removing an element from the input data and inserting it at the correct position.",1,unknown,unknown,Positive,unknown,Positive,unknown,Negative,Positive
"Q: What is the difference between an array that is declared as static and one that is not?
A: a static array will be called only once. once it has been declared the complier will ignore the static line if it comes to it again.",1,Negative,Negative,Negative,Negative,Positive,Negative,Negative,unknown
"Q: What is the main advantage of arrays over linked lists?
A: arrays allow for the random access of any item cotained a any time, linked lists must be gone through toget to the desired item",1,Positive,Positive,unknown,unknown,Positive,Positive,Negative,Positive
"Q: What is the difference between a function prototype and a function definition?
A: a function prototype simply declares the functions parameters, the function definition includes any necessary variables and the function's actual code",1,unknown,unknown,Positive,unknown,Positive,unknown,Negative,Positive
"Q: How are overloaded functions differentiated by the compiler?
A: Compiler selects proper function to execute based on number, types and order of arguments in the function call.",1,Positive,unknown,unknown,Positive,Positive,Positive,Negative,Positive
"Q: What is the main advantage of a doubly-linked list over a basic linked list?
A: given a node in the list, one can navigate easily in either direction",1,unknown,Negative,Positive,unknown,unknown,Negative,Negative,Positive
"Q: What is the main difference between a while and a do...while statement?
A: The main difference between a do and a do...while statement is in a do...while statement is the statements in a do block are always executed atleast once.   The while statement will only execute if its condition is true.",1,Positive,Positive,Positive,Negative,Positive,Positive,Negative,Negative
"Q: What is a variable?
A: a variable is an object where data is stored.",1,unknown,unknown,unknown,unknown,Positive,unknown,Negative,Positive
"Q: What is the inorder traversal of a binary tree?
A: It travels left to right",1,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive
"Q: How are objects initialized when they are created?
A: When the class is called by the Constructor",1,unknown,Positive,Negative,Negative,Positive,Negative,Negative,Positive
"Q: What are the elements typically included in a class definition?
A: data members and function definitions",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What is the difference between a circular linked list and a basic linked list?
A: In circular linked list each node has successor, no node contains NULL, while in basic linked list last node contain NULL.",0,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: Briefly describe the divide-and-conquer paradigm.
A: to divide one larger string/line of values and sepereate them into smallers lines to easily manipulate them and then replace them in the order in which they should be.",1,Negative,Negative,Negative,Negative,unknown,Negative,Negative,Positive
"Q: What are the two different ways of specifying the length of an array?
A: manually inside the brackets or automatically via an initializer list",1,Positive,Positive,unknown,Positive,Positive,unknown,Negative,Positive
"Q: What is a recursive function?
A: A function that calls itself to perform an opperation such as a factorial recursive function.",1,Positive,Positive,unknown,Positive,Positive,unknown,Positive,unknown
"Q: How are arrays passed to functions?
A: you must pass the array and its size to the function. Ex. function(array, size);",1,Negative,Negative,unknown,unknown,unknown,Negative,Positive,Positive
"Q: How do you delete a node from a binary search tree?
A: you replace the node with the largest element of its left subtree or replace it with the smallest element of the right subtree.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What are the similarities between iteration and recursion?
A: Based on control statement;  involve repetition; involve a terminal test; both can occur infinitly",1,Positive,Positive,unknown,unknown,Positive,Positive,Negative,Positive
"Q: What are the different ways to pass a pointer to a function?
A: you can pass them with the pointer (*) or the memory address (&)",0,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive
"Q: What is a leaf?
A: The last value in the tree. A value with no children attatched.",1,Negative,Positive,unknown,Negative,Positive,Negative,Negative,Negative
"Q: How can you implement a stack with a list?
A: make a list, make the bottom the head, add on the end and make the end top",1,Positive,unknown,Negative,Negative,Positive,unknown,Negative,Positive
"Q: What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?
A: very simplistic it moves one element from the list by one and inserting them in their correct position into a new slot then starting over. best case is (0)1",0,Negative,Negative,Negative,Negative,unknown,Negative,Negative,unknown
"Q: How are linked lists passed as arguments to a function?
A: The linked list object contains the head, through which the other elements are accessible.",1,Negative,Negative,unknown,Negative,Negative,Negative,Negative,Positive
"Q: What is a tree?
A: A tree is a finite set of one or more nodes with a specially designated node called the root and the remaining nodes are partitioned into disjoint sets where each of these sets is a tree.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What is the stack operation corresponding to the enqueue operation in queues?
A: push",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What is the difference between an array that is declared as static and one that is not?
A: a static array is one that keeps its values and is not initialized every time a class function is called, it's data is not lost at function end.",1,Positive,Positive,unknown,Positive,Positive,Positive,unknown,Positive
"Q: What is the difference between a data member and a local variable inside a member function?
A: A field variable is a variable that is declared as a member of a class. A local variable is avariable that isdeclared local to a method.",0,Positive,unknown,Positive,unknown,Positive,Negative,Negative,Positive
"Q: What is a leaf?
A: A new item to the tree--a child",0,Negative,Negative,Negative,Negative,unknown,Negative,Negative,Positive
"Q: How are arrays passed to functions?
A: The function reads the variables, stores them. then returns the what ever the variable reads. The function then prints the content of the array.",0,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative
"Q: When does C++ create a default constructor?
A: In any class that doesn't explicitly include a constructor.",1,Positive,unknown,Positive,Positive,Positive,unknown,Negative,Positive
"Q: What does the sizeof operator return?
A: It returns the size of an array in bytes.",1,unknown,unknown,unknown,unknown,Positive,unknown,Negative,Positive
"Q: What is a pointer?
A: its a data type with a memory address and a value",0,unknown,unknown,unknown,unknown,Positive,unknown,Negative,Positive
"Q: Briefly describe the divide-and-conquer paradigm.
A: a divide-and-conquer paradigm. takes some data, divides it into two parts, and works on each part indiviually until the item is found.",1,unknown,Negative,Negative,Negative,unknown,Negative,Negative,unknown
"Q: What is the role of a prototype program in problem solving?
A: A prototype program is a part of the Specification phase of Software Problem Solvin.  It's employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon.",1,unknown,Negative,unknown,unknown,Positive,unknown,unknown,Positive
"Q: What is a binary search tree?
A: A binary search tree is a tree that also has the condition that each node may have at maximum 2 children and where the input data is compared to the data in the tree starting with the root. If the value is smaller than the root it traverses left, if it is larger it traverses right until it becomes a leaf.",1,Negative,unknown,Positive,unknown,Positive,Negative,Negative,unknown
"Q: How can you implement a queue with an array?
A: Make use of a front pointer and a tail pointer.  When the tail pointer reaches the end of an array it gets reset to the front of the array.  If the two pointers are equal then the queue is either full or just has one element.",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,Positive
"Q: What is the role of a header-file?
A: the role of a header file list all the functions a class can do while hiding the inner workings of its functions",1,unknown,unknown,unknown,unknown,Positive,unknown,Negative,Positive
"Q: What are the access-specifiers that can be used in a C++ class definition?
A: public , private, protected",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What are the similarities between iteration and recursion?
A: both need to have some kind of base case to tell when the loop needs to stop.",0,unknown,Negative,Negative,Negative,Positive,Negative,Negative,Positive
"Q: What is the difference between an array that is declared as static and one that is not?
A: static arrays can be called from anywhere",0,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive
"Q: How are arrays passed to functions?
A: #NAME?",1,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative
"Q: What is a pointer?
A: A pointer is a variable which stores the address of another variable.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: In one sentence, what is the main idea implemented by selection sort?
A: The main idea behind selection sort is to take the least variable from the right and put it directly to the left.",1,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive
"Q: What is typically included in a class definition?
A: the keyword class followed by they class name, on the inside you declare public and private declarations of your class",1,Negative,Negative,unknown,unknown,unknown,Negative,Negative,unknown
"Q: What is a binary search tree?
A: A tree in which the smaller values are located on the left of a parent node and the larger values are located on the right of the parent node.",1,unknown,unknown,unknown,unknown,Positive,unknown,Negative,Positive
"Q: What stages in the software life cycle are influenced by the testing stage?
A: Elaboration, construction, and transition.",0,Negative,Negative,Negative,Negative,unknown,Negative,Negative,Positive
"Q: What is the main difference between strings declared using the type string versus strings declared using an array of characters?
A: an array of characters has one element a string doesnt have. it is the termination element, or ""null""",1,Positive,Positive,Positive,unknown,Positive,Positive,Negative,Positive
"Q: What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?
A: it could be considered that having only one item would be the easiest to sort, but this could also be a trivial result as nothing is moved  having two items allows the algorithm to sort the items into the correct order",0,Negative,Negative,unknown,Negative,unknown,Negative,unknown,unknown
"Q: What is the difference between an array declared as static, and one that is not?
A: A static array cannot be changed in the program.",0,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive
"Q: How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?
A: Size of subsequent dimensions are required. Compiler must know how many elements to skip to move to the second element in the first dimension",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,Positive
"Q: What is the difference between a data member and a local variable inside a member function?
A: a local variable in a member function has to be static. a data member can change its value freely.",0,Negative,Negative,unknown,Negative,Negative,Negative,Negative,unknown
"Q: What is the experimental approach for measuring the running time of an algorithm?
A: The experimental approach for measuring the running time is by using the Big O equation which tells you the running time.",0,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive
"Q: What are the two main functions defined by a queue?
A: enqueue dequeue",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: How are arrays passed to functions?
A: By reference.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What are the similarities between iteration and recursion?
A: Both are based on a control statement; both gradually approach termination ending with a termination test; both involve repetition, and can both repeat infinitely if their  termination requirements are not met.",1,Positive,Positive,Positive,unknown,Positive,Positive,Negative,Positive
"Q: What is a pointer?
A: An element that references a memory cell",1,unknown,unknown,unknown,unknown,Positive,unknown,Negative,Positive
"Q: What is a pointer?
A: A data type that points to a specific memory address.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: How many steps does it take to search a node in a binary search tree?
A: depending on the way that the tree is ordered, it could be anywhere between log(n) and N steps.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What is a queue?
A: A linked list with a First In, Out structure dequeue at the head of the list enqueue at the end of the list",1,unknown,unknown,unknown,unknown,Positive,unknown,unknown,Positive
"Q: What is the main advantage of linked lists over arrays?
A: Elements can be inserted into a link list at any point and does not need to be resized unlike an array needs to be.",1,Positive,Positive,unknown,Positive,Positive,Positive,Positive,Positive
"Q: What is the alternative way to solve a problem that could be solved through recursive functions?
A: Iteration, performers  a series of checks and loops.",1,Positive,Positive,unknown,unknown,Positive,unknown,unknown,Positive
"Q: How many comparisons does it take to find an element in a binary search tree?
A: (n^k)-1   where k is the height of the tree",0,Negative,Negative,Negative,Negative,unknown,Negative,Negative,Positive
"Q: What is the difference between an array that is declared as static and one that is not?
A: A static array has class scope, allowing it to remain where other arrays might be recycled.",1,Negative,Negative,Negative,Negative,unknown,Negative,Negative,Positive
"Q: What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?
A: O(n)",1,unknown,Negative,Positive,Negative,Positive,Negative,Negative,Positive
"Q: What is a variable?
A: a location in memory where data can be stored and retrieved",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: How can you implement a stack with an array?
A: Create an array based on a pre-defined size N There can't be more elements than N.  Bottom stack element stored at element 0 last index in the array is the top  Increment top when one element is pushed, decrement after pop",1,unknown,Positive,Positive,Negative,Positive,Positive,unknown,unknown
"Q: What is the role of a header-file?
A: To hold reusable content or modules separate from the actual  source-code file that can be easily referenced and employed for different programs.",1,unknown,Negative,unknown,unknown,Positive,unknown,Negative,Positive
"Q: What is a pointer?
A: an object that points to a specific place in memory, where a variable or value is stored.",1,unknown,unknown,unknown,unknown,Positive,unknown,Negative,Positive
"Q: What is the height of a tree?
A: The number of nodes on the longest path from the root of the tree to a leaf.",1,unknown,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What does a function signature include?
A: a function's return type and parameter list",0,Negative,Negative,Positive,unknown,Positive,Negative,Negative,Positive
"Q: How are arrays passed to functions?
A: function( int [], int length)",1,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive
"Q: What is the role of a prototype program in problem solving?
A: It tests the main function of the program while leaving out the finer details.",0,unknown,Negative,Positive,Positive,Positive,Negative,Negative,Positive
"Q: What is the main advantage of a doubly-linked list over a basic linked list?
A: Doubly linked lists allow backward movement through the nodes.",1,unknown,Negative,Positive,unknown,unknown,Negative,Negative,Positive
"Q: What is a recursive function?
A: A base case that calls upon itself until the problem becomes smaller and terminates.",1,Negative,Negative,Negative,Negative,unknown,Negative,Negative,Positive
"Q: What does a function signature include?
A: It includes a function name and parameter list. Does not include return type. Function signatures must be different.",1,Positive,Positive,Positive,unknown,unknown,Positive,Positive,Positive
"Q: What is the difference between a function prototype and a function definition?
A: A function prototype just specifies parameters.  A function definition includes parameters and a code body.",1,Negative,Negative,unknown,Negative,Positive,Negative,Negative,Positive
"Q: What is the role of a header-file?
A: Allow compiler to recognize the classes when used elsewhere",0,unknown,Negative,Positive,unknown,Positive,Negative,Negative,Positive
"Q: What are the elements typically included in a class definition?
A: Class is user defined.  It contains members, data and functions.  The keyword class is used and includes brackets ({})",1,Positive,Positive,unknown,Positive,unknown,unknown,Negative,unknown
"Q: What is a recursive function?
A: A function that calls itself, in order to solve a problem.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,unknown
"Q: What are the main advantages associated with object-oriented programming?
A: Some advantages are existing classes can be reused and program maintenance and verification are easier to accomplish.",1,Positive,unknown,Positive,Positive,Positive,unknown,unknown,Positive
"Q: What is the role of a header-file?
A: A header file allows for the separation of declaration and implementation into separate files.",1,Positive,unknown,Positive,Positive,Positive,unknown,Negative,Positive
"Q: How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?
A: The first dimension is not required however the subsequent dimension(s) are needed for the compiler.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: Briefly describe in one sentence how does merge sort work?
A: Mergesort divides the array into smaller halves and then combines the sorted subarrays into one sorted array.",1,Positive,unknown,Positive,unknown,Positive,Positive,Negative,Positive
"Q: What is the main advantage of a doubly-linked list over a basic linked list?
A: they can traverse in both directions",1,Positive,Negative,Positive,Positive,Positive,Negative,Negative,Positive
"Q: What is a stack?
A: Stores a set of elements in a particular order.",0,unknown,Negative,unknown,Negative,Positive,Negative,Negative,Positive
"Q: What are the similarities between iteration and recursion?
A: Incorrectly writing either can result in infinite loops, both perform the same task over and over.",1,Positive,unknown,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What stages in the software life cycle are influenced by the testing stage?
A: Refining and Coding",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: How can an array be addressed in pointer/offset notation?
A: multi-dimensional array",0,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive
"Q: What are the access-specifiers that can be used in a C++ class definition?
A: public: the function or variable can be used outside the class private: the function or variable can only be used with the class",1,Positive,Positive,Positive,Positive,Positive,unknown,unknown,Positive
"Q: What is the scope of global variables?
A: The scope of global variables are created by placing variable declarations outside any class or function definition.  Global variables retain their values throughout the execution of the program and they can be referenced by any function that follows their declarations or definitions in the source file.",0,unknown,Negative,unknown,unknown,Positive,unknown,unknown,Negative
"Q: What is the role of a prototype program in problem solving?
A: you can break the whole program into prototype programs to simulate parts of the final program",1,Positive,unknown,Positive,unknown,Positive,Positive,Negative,unknown
"Q: How can you implement a queue with a list?
A: throw in data at the head and take it out at the tail",1,Positive,unknown,Negative,unknown,Positive,Negative,Negative,Positive
"Q: What is the stack operation corresponding to the enqueue operation in queues?
A: Push corresponds with enqueue, both very similarly place new elements into their stack or queue",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,Positive
"Q: What are the access-specifiers that can be used in a C++ class definition?
A: public and private",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What are the two different ways of specifying the length of an array?
A: Initializing the size in the brackets: int a[100]; Initializing the length by assigning variables: int a[] = {1,2,3};",1,Positive,Positive,unknown,Positive,Positive,Positive,Positive,Positive
"Q: In one sentence, what is the main idea implemented by insertion sort?
A: one by one, each item is taken and placed into the correct place in the sorted portion of the array until there are no more items",1,Positive,unknown,Positive,unknown,Positive,Positive,Negative,Positive
"Q: What is a linked list?
A: one of the fundamental data structures, and can be used to implement other data structures. It consists of a sequence of nodes, each containing arbitrary data fields and one or two references (""links"") pointing to the next and/or previous nodes.",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,Positive
"Q: What is the main difference between strings declared using the type string versus strings declared using an array of characters?
A: By using an array of characters, one can store and manipulate the strings rather than just having a type string variable.",0,Negative,Negative,unknown,Negative,Negative,Negative,Negative,unknown
"Q: What is the base case for a recursive implementation of merge sort?
A: A list size of 1, where it is already sorted.",1,Positive,unknown,Positive,Positive,Positive,Positive,unknown,Positive
"Q: When defining a recursive function, what are possible causes for infinite recursion?
A: recursion refers to situations in which functions call themselves. These types of functions are known as recursive functions. That being said Infinite recursion occurs when the function is designed in such a way as to call it self forever without stopping possible causes",0,Negative,Negative,unknown,Negative,Negative,Negative,Negative,Negative
"Q: Where are variables declared in a C++ program?
A: Global variables are declared in the body of the code. Local variables are declared in the function they are to be used (unless the function is being passed a variable). Variables should always be declared before use.",1,unknown,unknown,unknown,Negative,unknown,unknown,Negative,unknown
"Q: What is the difference between a constructor and a function?
A: A constructor typically used to intialize data members and allocate resources, for instance memory, files, etc.  Also a constructor cannot return values.  Functions are operations that maybe globally defined.",1,unknown,Negative,Positive,unknown,unknown,Negative,unknown,Positive
"Q: When defining a recursive function, what are possible causes for infinite recursion?
A: The recursive problem cannot be reduced to reach the base case.",1,Positive,unknown,Positive,unknown,Positive,Positive,Negative,Positive
"Q: How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?
A: one",0,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive
"Q: What is a binary tree?
A: A tree data structure in which each done has at most two children, typical called left and right nodes.  The right node is usually greater than the left node and the parent node.",1,Negative,unknown,unknown,Negative,Negative,Negative,Negative,unknown
"Q: What is the main advantage associated with function arguments that are passed by reference?
A: Passing by reference can eliminate the pass-by-value overhead of copying large amounts of data.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What does the star (*) operator return?
A: the star operator returns the value at the memory address the pointer is pointing at.",1,unknown,unknown,unknown,unknown,Positive,unknown,Negative,Positive
"Q: What is the difference between a data member and a local variable inside a member function?
A: A variable inside a member function can only be accessed inside that member and a data member can be accessed throughought the program.",1,Negative,unknown,unknown,Negative,Positive,Negative,Negative,Positive
"Q: What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char[]?
A: Character arrays will terminate at any whitespace, including spaces. Strings terminate when they encounter the new line character.",0,Negative,Negative,unknown,Negative,unknown,Negative,Negative,Positive
"Q: What is a pointer?
A: Pointer is a variable which have a memory address of a variable.",1,Positive,Positive,Positive,unknown,Positive,Positive,Negative,unknown
"Q: What does the address (&) operator return?
A: Returns the memory address of its operand.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: How are arrays passed to functions?
A: Arrays are passed by reference.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: Where do C++ programs begin to execute?
A: At the ""main()"" function",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What is the advantage of linked lists over arrays?
A: you can add as many nodes as you like without having to specify a list size, if an array gets too big you have to copy its entire contents to another larger array to get more room",1,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
"Q: What are the main advantages associated with object-oriented programming?
A: Data Abstraction and control... it is possible to isolate elements from other elements a lot easier and prevent tampering of data.",1,unknown,Negative,unknown,unknown,Positive,unknown,unknown,Positive
"Q: What are the different ways to pass a pointer to a function?
A: there are only two ways to pass something, by value and by reference. Use of dot or pointer operators within the receiving function and use of '&' operator inside the passing function",0,Negative,Negative,Negative,Negative,Negative,Negative,Negative,unknown
"Q: What is the difference between a function prototype and a function definition?
A: A functgion prototype is a declaration of a function , while function definition specifies what a function does",1,unknown,Negative,Negative,unknown,Positive,Negative,Negative,Positive
"Q: What is the alternative way to solve a problem that could be solved through recursive functions?
A: iterative functions",1,Positive,Positive,unknown,Positive,Positive,Positive,Negative,Positive
"Q: How many comparisons does it take to find an element in a binary search tree?
A: Depends on what half of the tree and the levels you have.",1,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive
"Q: What is a function pointer?
A: a pointer that points to a function itself, which allows passing a function as a parameter to another function.",1,unknown,Negative,Positive,unknown,Positive,unknown,unknown,Positive
"Q: How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?
A: Multi dimensional arrays are accessed using more than 1  index, one for each dimension at least.",1,Negative,Negative,unknown,unknown,Negative,Negative,Negative,unknown
"Q: What are the access-specifiers that can be used in a C++ class definition?
A: The access-specifiers that can be used in a C++ class definition is private and public.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What is a linked list?
A: a series of structures containing data items and a pointer that links the structure to the next structure.",1,Positive,unknown,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What is the difference between a constructor and a function?
A: Constructors don't have a return type.",1,Positive,Negative,Positive,Positive,Positive,unknown,Negative,Positive
"Q: What is the height of a tree?
A: The connections between elements are called branches. Trees are often called inverted trees because they are normally drawn with the root at the top.",0,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative
"Q: What operations would you need to perform to find a given element on a stack?
A: pop and push",0,Negative,Negative,unknown,Negative,unknown,Negative,Negative,Positive
"Q: What is the main advantage associated with function arguments that are passed by reference?
A: It is more efficient and it changes the variable not online inside the function but outside so that the new value can be used elsewhere.",0,Positive,unknown,unknown,unknown,Positive,unknown,Negative,Positive
"Q: In one sentence, what is the main idea implemented by insertion sort?
A: it goes through the list only once, picking each integer and putting it in its desired position, then continuing.",1,Negative,Negative,unknown,Negative,Positive,Negative,Negative,unknown
"Q: What are the different ways to pass a pointer to a function?
A: Four different ways: Nonconstant pointer to nonconstant data, a nonconstant pointer to constant data, a constant pointer to nonconstant data and a constant pointer to constant data.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What operations would you need to perform to find a given element on a stack?
A: Using linked lists and stacks, you would need a temp stack to retain the values. Then you would use the Pop( ) function to pop off each element and then compare it. If its not the element your looking for, Push ( ) it to the temp stack. Repeat until the element is found. When you find it,  Pop ( ) off the temp stack back onto the regular stack to have a complete stack again.",1,Positive,Positive,Positive,Positive,unknown,Positive,Positive,unknown
"Q: What is the difference between a data member and a local variable inside a member function?
A: data members are declared in a class definition but outside the bodies of a class's member-function definitions. Local variables are declared in a function definition's body",1,unknown,Negative,Positive,Positive,unknown,Negative,Negative,Positive
"Q: How many steps does it take to search a node in a binary search tree?
A: to find a node in a binary search tree takes at most the same number of steps as there are levels of the tree.",1,Positive,Positive,unknown,Positive,Positive,Positive,Negative,unknown
"Q: Where do C++ programs begin to execute?
A: C++ programs begin execution at main.",1,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
"Q: What is a variable?
A: A location in memory where value can be stored.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What does a function signature include?
A: It includes the name of the function and the types of its arguments.",1,unknown,Positive,unknown,unknown,Positive,unknown,Negative,Positive
"Q: How do you delete a node from a binary search tree?
A: first attaching the elements from the node to be deleting to alternate nodes and then deleting that node.    delete node;",0,Negative,Negative,Negative,Negative,Negative,Negative,Negative,unknown
"Q: Briefly, how does selection sort work?
A: selection sort finds the lowest element in the data set and places it behind the pivot point.",1,Negative,Negative,Negative,Negative,unknown,Negative,Negative,Positive
"Q: How can you implement a queue with an array?
A: your storage class has an array, and you keep track of the index of the first and last item in the array, and wrap around when end of the array is full",1,Positive,Positive,unknown,unknown,Positive,Positive,Negative,Positive
"Q: How many steps does it take to search a node in a binary search tree?
A: If the binary search tree is constructed efficiently, best case scenario is O(log n) time.  Where n is the number of items in the tree.  If the binary search tree is constructed poorly, with for instance the root of the tree being 1, and progressing downwards and to the right its children are each more than the last: you have a one-way linear linked list.  That worse case scenario would be a full traversal at O(n) time. Where n is the number of items in the tree.",1,Positive,unknown,Positive,Positive,Positive,Positive,Positive,Positive
"Q: What is the difference between a circular linked list and a basic linked list?
A: In a circular linked list, the last node points to the first node.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What is a binary tree?
A: A tree in which each parent has a maximum of 2 children.",1,Positive,Positive,Positive,unknown,Positive,Positive,Negative,Positive
"Q: What is a queue?
A: A quese is an list that stores a set of elements in a particular order. It has Stack principle, but in this case, its ""First In, First Out"". The first element inserted is the first element to be removed.",1,Negative,unknown,Negative,unknown,Positive,unknown,Negative,unknown
"Q: What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?
A: the best case scenario for insertion sort is a list that is already sorted. the number of operations would be the same as the number of elements",1,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
"Q: What is a queue?
A: an ordered list that performs task in the order of first in first out. adding items to the queue places items behind the rest of them. taking items off the queue takes the one that has waited the longest.",1,Positive,Positive,unknown,Positive,Positive,Positive,unknown,unknown
"Q: What is a tree?
A: A connected, undirected graph without cycles.",1,Positive,Negative,Positive,Positive,Positive,Positive,Negative,Positive
"Q: In one sentence, what is the main idea implemented by insertion sort?
A: the insertion sort creates a new array and inserts each item in its place with respect to the new array.",1,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive
"Q: What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char[]?
A: When the string is passed into the array char, individual characters are stored and can be manipulated.  Although when a word is stored into a string variable, it is stored as one word and not as individual characters.",0,Negative,Negative,unknown,Negative,unknown,Negative,Negative,unknown
"Q: What are the two different ways of specifying the length of an array?
A: user defined value or by the number of elements in initializer list",1,unknown,unknown,Negative,Negative,Positive,unknown,Negative,Positive
"Q: What is the main difference between a while and a do...while statement?
A: The loop of a do...while statement always executes once.",1,Positive,Positive,Positive,unknown,Positive,Positive,Negative,Positive
